,,,a12a,,,,,
"<classCode xml:id=""",cat_0000,"""><idno n=""",Rotliegendes ,""">",Rotliegendes ,</idno><rs>,~257 - ~302),</rs></classCode>
"<classCode xml:id=""",cat_0001,"""><idno n=""",Känozoikum ,""">",Känozoikum ,</idno><rs>,0 -  65.5),</rs></classCode>
"<classCode xml:id=""",cat_0002,"""><idno n=""",Quartär ,""">",Quartär ,</idno><rs>,0 - 2.588),</rs></classCode>
"<classCode xml:id=""",cat_0003,"""><idno n=""",Jungpleistozän (Tarantium) ,""">",Jungpleistozän (Tarantium) ,</idno><rs>,0.0117 - 0.126),</rs></classCode>
"<classCode xml:id=""",cat_0004,"""><idno n=""",Tarantium ,""">",Tarantium ,</idno><rs>,0.0117 - 0.126),</rs></classCode>
"<classCode xml:id=""",cat_0005,"""><idno n=""",Pleistozän ,""">",Pleistozän ,</idno><rs>,0.0117 - 2.588),</rs></classCode>
"<classCode xml:id=""",cat_0006,"""><idno n=""",Mittelpleistozän (Ionium) ,""">",Mittelpleistozän (Ionium) ,</idno><rs>,0.126 - 0.781),</rs></classCode>
"<classCode xml:id=""",cat_0007,"""><idno n=""",Serravallium ,""">",Serravallium ,</idno><rs>,11.608 - 13.82),</rs></classCode>
"<classCode xml:id=""",cat_0008,"""><idno n=""",Langhium ,""">",Langhium ,</idno><rs>,13.82 - 15.97),</rs></classCode>
"<classCode xml:id=""",cat_0009,"""><idno n=""",Berriasium ,""">",Berriasium ,</idno><rs>,140.2 - 145.5),</rs></classCode>
"<classCode xml:id=""",cat_0010,"""><idno n=""",Tithonium ,""">",Tithonium ,</idno><rs>,145.5 - 150.8),</rs></classCode>
"<classCode xml:id=""",cat_0011,"""><idno n=""",Malm (Oberjura) ,""">",Malm (Oberjura) ,</idno><rs>,145.5 - 161.2),</rs></classCode>
"<classCode xml:id=""",cat_0012,"""><idno n=""",Jura ,""">",Jura ,</idno><rs>,145.5 - 199.6),</rs></classCode>
"<classCode xml:id=""",cat_0013,"""><idno n=""",Oxfordium ,""">",Oxfordium ,</idno><rs>,155.6 - 161.2),</rs></classCode>
"<classCode xml:id=""",cat_0014,"""><idno n=""",Callovium ,""">",Callovium ,</idno><rs>,161.2 - 164.7),</rs></classCode>
"<classCode xml:id=""",cat_0015,"""><idno n=""",Bajocium ,""">",Bajocium ,</idno><rs>,167.7 - 171.6),</rs></classCode>
"<classCode xml:id=""",cat_0016,"""><idno n=""",Toarcium ,""">",Toarcium ,</idno><rs>,175.6 - 183.0),</rs></classCode>
"<classCode xml:id=""",cat_0017,"""><idno n=""",Lias (Unterjura) ,""">",Lias (Unterjura) ,</idno><rs>,175.6 - 199.6),</rs></classCode>
"<classCode xml:id=""",cat_0018,"""><idno n=""",Unterjura ,""">",Unterjura ,</idno><rs>,175.6 - 199.6),</rs></classCode>
"<classCode xml:id=""",cat_0019,"""><idno n=""",Pliensbachium ,""">",Pliensbachium ,</idno><rs>,183.0 - 189.6),</rs></classCode>
"<classCode xml:id=""",cat_0020,"""><idno n=""",Hettangium ,""">",Hettangium ,</idno><rs>,196.5 - 199.6),</rs></classCode>
"<classCode xml:id=""",cat_0021,"""><idno n=""",Neogen ,""">",Neogen ,</idno><rs>,2.588 - 23.03),</rs></classCode>
"<classCode xml:id=""",cat_0022,"""><idno n=""",Pliozän ,""">",Pliozän ,</idno><rs>,2.588 - 5.332),</rs></classCode>
"<classCode xml:id=""",cat_0023,"""><idno n=""",Muschelkalk (Mitteltrias) ,""">",Muschelkalk (Mitteltrias) ,</idno><rs>,228.7 - 245.9),</rs></classCode>
"<classCode xml:id=""",cat_0024,"""><idno n=""",Chattium ,""">",Chattium ,</idno><rs>,23.03 - 28.4),</rs></classCode>
"<classCode xml:id=""",cat_0025,"""><idno n=""",Oligozän ,""">",Oligozän ,</idno><rs>,23.03 - 33.9),</rs></classCode>
"<classCode xml:id=""",cat_0026,"""><idno n=""",Paläogen ,""">",Paläogen ,</idno><rs>,23.03 - 65.5) [?],</rs></classCode>
"<classCode xml:id=""",cat_0027,"""><idno n=""",Buntsandstein (Untertrias) ,""">",Buntsandstein (Untertrias) ,</idno><rs>,245.9 - 251.0),</rs></classCode>
"<classCode xml:id=""",cat_0028,"""><idno n=""",Perm ,""">",Perm ,</idno><rs>,251.0 - 299.0) ?,</rs></classCode>
"<classCode xml:id=""",cat_0029,"""><idno n=""",Paläozoikum ,""">",Paläozoikum ,</idno><rs>,251.0 - 542.0),</rs></classCode>
"<classCode xml:id=""",cat_0030,"""><idno n=""",Rupelium ,""">",Rupelium ,</idno><rs>,28.4 - 33.9),</rs></classCode>
"<classCode xml:id=""",cat_0031,"""><idno n=""",Sakmarium ,""">",Sakmarium ,</idno><rs>,284.4 - 294.6),</rs></classCode>
"<classCode xml:id=""",cat_0032,"""><idno n=""",Karbon ,""">",Karbon ,</idno><rs>,299.0 - 359.2),</rs></classCode>
"<classCode xml:id=""",cat_0033,"""><idno n=""",Zancleum ,""">",Zancleum ,</idno><rs>,3.600 - 5.332) ,</rs></classCode>
"<classCode xml:id=""",cat_0034,"""><idno n=""",Mississippium ,""">",Mississippium ,</idno><rs>,318.1 - 359.2),</rs></classCode>
"<classCode xml:id=""",cat_0035,"""><idno n=""",Viséum ,""">",Viséum ,</idno><rs>,328.3 - 345.3),</rs></classCode>
"<classCode xml:id=""",cat_0036,"""><idno n=""",Bartonium ,""">",Bartonium ,</idno><rs>,37.2 - 40.4),</rs></classCode>
"<classCode xml:id=""",cat_0037,"""><idno n=""",Frasnium ,""">",Frasnium ,</idno><rs>,374.5 - 385.3),</rs></classCode>
"<classCode xml:id=""",cat_0038,"""><idno n=""",Givetium ,""">",Givetium ,</idno><rs>,385.3 - 391.8),</rs></classCode>
"<classCode xml:id=""",cat_0039,"""><idno n=""",Mitteldevon ,""">",Mitteldevon ,</idno><rs>,385.3 - 397.5),</rs></classCode>
"<classCode xml:id=""",cat_0040,"""><idno n=""",Lutetium ,""">",Lutetium ,</idno><rs>,40.4 - 48.6),</rs></classCode>
"<classCode xml:id=""",cat_0041,"""><idno n=""",Hadaikum ,""">",Hadaikum ,</idno><rs>,4000 - 4600),</rs></classCode>
"<classCode xml:id=""",cat_0042,"""><idno n=""",Pragium ,""">",Pragium ,</idno><rs>,407.0 - 411.2),</rs></classCode>
"<classCode xml:id=""",cat_0043,"""><idno n=""",Silur ,""">",Silur ,</idno><rs>,416.0 - 443.7),</rs></classCode>
"<classCode xml:id=""",cat_0044,"""><idno n=""",Llandovery ,""">",Llandovery ,</idno><rs>,428.2 - 443.7)  ,</rs></classCode>
"<classCode xml:id=""",cat_0045,"""><idno n=""",Ordovizium ,""">",Ordovizium ,</idno><rs>,443.7 - 488.3),</rs></classCode>
"<classCode xml:id=""",cat_0046,"""><idno n=""",Kambrium ,""">",Kambrium ,</idno><rs>,488.3 - 542.0),</rs></classCode>
"<classCode xml:id=""",cat_0047,"""><idno n=""",Miozän ,""">",Miozän ,</idno><rs>,5.332 - 23.03),</rs></classCode>
"<classCode xml:id=""",cat_0048,"""><idno n=""",Ediacarium ,""">",Ediacarium ,</idno><rs>,542.0 - 635),</rs></classCode>
"<classCode xml:id=""",cat_0049,"""><idno n=""",Kreide ,""">",Kreide ,</idno><rs>,65.5 - 145.5),</rs></classCode>
"<classCode xml:id=""",cat_0050,"""><idno n=""",Oberkreide ,""">",Oberkreide ,</idno><rs>,65.5 - 99.6),</rs></classCode>
"<classCode xml:id=""",cat_0051,"""><idno n=""",Santonium ,""">",Santonium ,</idno><rs>,83.5 - 85.8),</rs></classCode>
"<classCode xml:id=""",cat_0052,"""><idno n=""",Präkambrium,""">",Präkambrium,</idno><rs>,,</rs></classCode>
"<classCode xml:id=""",cat_0053,"""><idno n=""",rezent,""">",rezent,</idno><rs>,,</rs></classCode>
"<classCode xml:id=""",cat_0054,"""><idno n=""",subrezent,""">",subrezent,</idno><rs>,,</rs></classCode>
"<classCode xml:id=""",cat_0055,"""><idno n=""",Tertiär,""">",Tertiär,</idno><rs>,,</rs></classCode>
