kerndaten_id,uid,pid,tstamp,crdate,cruser_id,a0,a1,a2,a3,a5,a6,a7a,a7b,a8,a9a,a9b,a9c,a9d,a12a,a12aa,a12b,a12c,a12d,a12e,a12f,a12g,a12h,a12i,a13a,a13b,a13c,a13d,a14a,a14aa,a14b,a14ba,a15a,a15aa,a15b,a15ba,a16a,a16b,a16ba,a17,a18,a19,a20,a21,a22,a23,a24a,a24b,a25,a25a_a,a25a,a25ab,a25ac,a25b,a25c,a26,a27,a28,a25aa,c1,c2,f1,f2a,f2b,f3a,f3b,f4,f5,f6,f7,f8,f9,QID
125,27,1,1478525980,1478525980,5,Mensch (Deutscher) [Schädel],"Anatomie, Anthropologie",AIG,002,28b; 11; 237; 64,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,alter Deutscher,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,,,,,,"Neuwied [OT Niederbieber], Koblenz district - Rheinland-Pfalz - Deutschland - Europe - World","50° 27` 34`` N
 7° 28` 7`` E
 ",tgn:700510,,,,1791-05-01,1791-09-30,"Wied-Neuwied, Louise zu (1747-1823)",,1817-01-01,1817-12-31,vermutlich Geschenk,1840 (aus Privatsammlung Blumenbachs),,,,Spengel (1877): 10f,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,2,4,"Krt. Nr. 2; Deutsche, 2); Bl.; v. Fürstin v. Neuwied; Ort: b. castro romano; alte Sign.:237
","L. Numberger-Thuy, M. Schultz, A. Gehler, N. Schäfer",2011-08-25,N. Schäfer,2016-11-07,,"Cod. Ms. Blumenbach I, Nr. 4: 2",,,,,Q4857
126,27,1,1478769868,1478769868,5,Mensch (Deutscher) [Schädel],"Anatomie, Anthropologie",AIG,003,XXIII; 238; 53,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,,,,,,"Bad Dürrenberg [OT Keuschberg, Heinrichsschanze], Halle district - Sachsen-Anhalt - Deutschland - Europe - World","51° 18\' 00\'\' N, 012° 04\' 00\'\' E",tgn:103638,,,,,,"Strauss, Johann Samuel (????-????)",,1818-01-01,1818-12-31,unbekannt,1840 (aus Privatsammlung Blumenbachs),,,,Spengel (1877): 10f,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,1,2,"Krt. R. 3; Deutsche, 3); Bl.1818; von Steuerprokurator Strauss; Ort: ?; alte Sign.: 238
","L. Numberger-Thuy, M. Schultz, A. Gehler, N. Schäfer",2011-08-25,N. Schäfer,2016-11-10,,"Cod. Ms. Blumenbach I, Nr. 4: 3",,,,,Q4744
129,27,1,1478769993,1478769993,5,Mensch (Deutscher) [Schädel],"Anatomie, Anthropologie",AIG,004,XXIV; 239; 54,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,,,,,,"Bad Dürrenberg [OT Keuschberg, Heinrichsschanze], Halle district - Sachsen-Anhalt - Deutschland - Europe - World","51° 18\' 00\'\' N, 012° 04\' 00\'\' E",tgn:103638,,,,,,"Strauss, Johann Samuel (????-????)",,1818-01-01,1818-12-31,unbekannt,1840 (aus Privatsammlung Blumenbachs),,,,Spengel (1877): 10f,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,1,2,"Krt.!nr,4; Deutsche,4); Bl. 1818; v. Steuerprocurator Strauss; Ort: b. Merseburg, aus den Gräbern; d. Heinr. Schanze b. Keuschberg.; alte Sign.: 239 
","L. Numberger-Thuy, M. Schultz, A. Gehler, N. Schäfer",2011-08-26,N. Schäfer,2016-11-10,,,,,,,Q4690
128,27,1,1478526439,1478526439,5,Mensch (Deutscher) [Schädel],"Anatomie, Anthropologie",AIG,005,XXII; 240; 69,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,Veteris Germani,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,,,,,,"Großromstedt, Thüringen - Deutschland - Europe - World","50° 58` 45`` N
 11° 29` 34`` E
 ",,,,,,,"Goethe, Johann Wolfgang von (1749-1832)",cnp01259499,1815-01-01,1815-12-31,vermutlich Geschenk,1840 (aus Privatsammlung Blumenbachs),,,,"00098: 4f;
Spengel (1877): 12


",00098: Taf. 61,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,0,2,"Text der Karteikarte:
Krt. Nr. 5
Bl. 1815
v. Göthe (Goethe)
Ort: aus einem Grabe b. Romstedt
alte Sign.; 240
( Hinw. Auf Bl., Decas VII/61)""Der von Goethe übersandte Schädel v.
Romstedt, Voit, Goethebrief an Bl.
","L. Numberger-Thuy, M. Schultz, A. Gehler, N. Schäfer",2012-04-23,N. Schäfer,2016-11-07,,"Cod. Ms. Blumenbach I, Nr. 4: 3",,,,,Q4731
131,20,1,1403380915,1403380915,1,Mensch (Deutsche) [Schädel],"Anatomie, Anthropologie",AIG,006,241; 72,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,NULL,NULL,NULL,NULL,NULL,"Klipphausen (OT Miltitz), Meißen - Sachsen - Deutschland","51° 6` 13`` N
 13° 24` 10`` E
 ",,,,,,,"Block, Peter Ludwig Heinrich von (1764-1818)",,1812-01-01,1812-12-31,unbekannt,,,,,Spengel (1877): 12f,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,0,2,"Krt. Nr. 6; Deutsche, 6); Bl. 1812; v H. B. v. Block; Ort: aus einem Kalksteinbruche b.Miltitz, Meissen; alte Sign.: 241
","L. Numberger-Thuy, M. Schultz, A. Gehler",2011-08-26,A. Gehler,2014-06-21,,,,,,,Q4773
132,20,1,1415030343,1415030343,1,Mensch (Deutscher?) [Schädel]_nicht in handschr. Kat.,"Anatomie, Anthropologie",AIG,007,242,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,NULL,NULL,NULL,NULL,NULL,"Querfurt [OT Vitzenburg], Halle district - Sachsen-Anhalt - Deutschland - Europe - World","51° 23\' 00\'\' N, 011° 36\' 00\'\' E",tgn:103753,,,,,,"Seckendorff, Christian Adolf von (1767-1833)",,1825-04-01,1825-04-30,vermutlich Geschenk,,,,,,,nein,,nicht bei Spengel (1877) und wohl auch nicht in Blumenbachs handschriftlichen Katalogen aufgeführt,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,1,11,"Krt. Nr. 7); Deutsche,7); Bl. 1825; v. Graf Seckendorf; aus dem Huenengrabe zu Vitzenburg b. Nebra in d. güldenen Aue; alte Sign.: 242
","L. Numberger-Thuy, M. Schultz, A. Gehler",2011-08-26,A. Gehler,2014-11-03,,,,,,,Q4823
133,20,1,1481126138,1481126138,1,(243) Deutsche,"Anatomie, Anthropologie",AIG,008,243,1,"Mammalia: Hominidae: Homo
","Säugetiere: Menschenaffen: Menschen
",,"<i>Homo sapiens</i>
","Mensch
",,,rezent,rezent,,,,,,,,,"Wien [Heiligenstadt], Österreich - Europe - World","48° 15` 0`` N
 16° 21` 0`` E
 ",tgn:113178,,,,,,unbekannt,,1814-01-01,1814-12-31,,,,,,,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,0,2,"Krt. Nr. 8; Deutsche,8) Bl.; Ort: Knochengewölbe b. Heiligenstadt
","L. Numberger-Thuy, M. Schultz, A. Gehler
",2011-08-26,A. Gehler,2014-06-21,,,,,,,Q4775
134,27,1,1478278503,1478278503,5,Mensch (Deutscher) [Schädel],"Anatomie, Anthropologie",AIG,017,252; 55,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,"Mensch
",,,rezent,rezent,,,,,,,,,"Bonn (Am Wichelshof), Köln district - North Rhine-Westphalia - Deutschland - Europe - World","50° 44\' 00\'\' N, 007° 06\' 00\'\' E",tgn:700509,,,,,,"Welcker, Friedrich Gottlieb (1784-1868)",cnp01327249,1819-01-01,1819-12-31,vermutlich Geschenk,1840 (aus Privatsammlung Blumenbachs),,,,Spengel (1877): 10f,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,die Rechte für die digitalen 2D-Einzelaufnahmen liegen bei der Akademie der Wissenschaften zu Göttingen,,0,3,"Krt. Nr. 17; Deutsche, 17), (Römerschädel); Bl. 1819; v. Prof. Welken; Ort: am Wichelshofe nahe b. Bonn; alte Sign.: 252

Im Katalog I, Nr. 4 sind insgesamt 3 vermerkt, wobei unbekannt ist, ob die anderen noch vorhanden sind.
","L. Numberger-Thuy, M. Schultz, A. Gehler, N. Schäfer",2011-08-29,N. Schäfer,2016-11-04,,"Cod. Ms. Blumenbach I, Nr. 4: 2",,,,,Q4656
135,20,1,1405801806,1405801806,1,(255) Deutsche_20,"Anatomie, Anthropologie",AIG,020,255,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,NULL,NULL,NULL,NULL,NULL,,,,,,,,,,,1800-01-01,1800-12-31,unbekannt,,,,,Spengel (1877): 10f,,nein,"Spengel, J.W. (1877): Die von Blumenbach gegründete anthropologische Sammlung der Universität Göttingen. Aufgenommen im Jahre 1874. [In:] Schaafhausen, H. (Hrsg.): Die Anthropologischen Sammlungen Deutschlands. Ein Verzeichnis des in Deutschland vorhandenen anthropologischen Materials. Nach dem Beschluss der Deutschen Anthropologischen Gesellschaft zusammengestellt unter der Leitung des Vorsitzenden der zu diesem Zwecke ernannten Commission, H. Schaaffhausen. II. Göttingen. VI + 91 S. Braunschweig (Vieweg und Sohn).",,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,,,0,2,"Krt. Nr. 20; Deutsche, 20); Bl. 1800; Ort: Edgehausen; alte Sign.: 255
","L. Numberger-Thuy, M. Schultz, A. Gehler",2011-08-29,A. Gehler,2014-07-19,,,,,,,Q4657
136,20,1,1427577967,1427577967,1,(256) Deutsche_21,"Anatomie, Anthropologie",AIG,021,256,1,Mammalia: Hominidae: Homo,Säugetiere: Menschenaffen: Menschen,,<i>Homo sapiens</i>,Mensch,,,rezent,rezent,,,,NULL,NULL,NULL,NULL,NULL,"Göttingen [Drakenberg, OT Roringen], Braunschweig district - Niedersachsen - Deutschland - Europe - World","51° 32\' 00\'\' N, 009° 57\' 00\'\' E",tgn:700524,,,,,,"Murray, ? (????-????)",,1834-01-01,1834-12-31,vermutlich Geschenk,,,,,,,nein,,,"Georg-August-Universität Göttingen, Medizinische Fakultät, Zentrum Anatomie (Blumenbachsche Schädelsammlung)",,,,,,,,,Naturalia,,,,0,2,"Krt. Nr. 21; Deutsche, 21); Bl. 1834; d. Dr. Murray; v. Drakenberge b. Rohringen, Gött.; alte Sign.: 256
","L. Numberger-Thuy, M. Schultz, A. Gehler",2011-08-29,A. Gehler,2015-03-28,,,,,,,Q4677
