a15a

"Adler, ? (????-????) [Dr.]"
"Alamán, Lucas (1792-1853)"
"Albers, Johann Abraham (1772-1821)"
"Anger, David (1764-1839)"
"Anthing, Carl Heinrich Wilhelm (1766-1823)"
"Araujo d'Azevedo, Antonio d' (1752-1817)"
"Asch, Georg Thomas von (1729-1807)"
"Asch, Georg Thomas von (1729-1807) ?"
August Emil Leopold von Sachsen-Gotha-Altenburg (1772-1822)
"Banks, Joseph (1743-1820)"
"Baring, ? (????-????)"
"Baur, Wilhelm Friedrich (????-????)"
"Beaulieu-Marconnay, Carl von (1777-1855)"
"Beneker, Fr. (????-????)"
"Berger, ? (????-????)"
"Billmann, Johann Christian (????-????)"
"Biot, Jean Baptiste (1774-1862)"
"Blane, Gilbert (1749-1834)"
"Block, Peter Ludwig Heinrich von (1764-1818)"
"Borgia, Stefano (1731-1804)"
"Bozenhard, Emanuel (1748-1799)"
"Bruns, ? (????-????) [Kaufmann in Bremen]"
"Bryant, Jacob (1715-1804)"
"Buch, Leopold von (1774-1853)"
"Buckland, William (1784-1856)"
"Bünger, Christian Heinrich (1782-1842)"
"Bunsen, Christian Karl Josias von (1791-1860)"
"Butenschön, Johann Friedrich (1764-1842))"
"Buxton, Isaac (1773-1825)"
"Caldcleugh, Alexander (1795-1858)"
"Chladni, Ernst Florens Friedrich (1756-1827)"
"Christian (Dänemark, König, VIII.) (1786-1848)"
"Christian (Dänemark, König, VIII.) (1786-1848, )"
"Christian (Dänemark, König, VIII.) (1786-1848)"
"Christian (Dänemark, König, VIII.) (1786-1848, )"
Christian Gottlieb Pötzsch / Herr E. v. Liebenroth ?
"Crawfurd, John (1783-1868)"
"Crichton, Alexander (1763-1856)"
"Crull, Wolter Hendrik (1784-1816)"
"Danz, Georg Friedrich (1733-1813)"
"Degering, ? (????-????)"
"Dickson, James (1738-1822)"
"Ebell, Georg August (1745-1824)"
"Erbach zu Erbach, Franz von (1754-1823)"
"Eschwege, Wilhelm Ludwig von (1777- 1855)"
"Espenberg, Karl (1761-1822)"
"Filtsch, Johann (1753 - 1836)"
"Filtsch, Johann (1753- 1836)"
"Finkenstein Schönberg, Friedrich Fink von (1778-1826) [Graf]"
"Forsten, Rudolph (1751-1806)"
"Freudenthal, ? (???-???)"
"Freyriss, Georg Wilhelm (1789-1825)"
"Fricke, Johann Carl Georg (1790-1841)"
"Friedrich, ? (????-????)"
"Fritze, Ernst Albert (1791-1839)"
"Fuchs, Karl Friedrich (1776-1846)"
