has inconsistency,a3,a15aa,a15a,CERL Name
,399,,"Adler, ? (????-????) [Dr.]",
,812,cnp00589905,"Alamán, Lucas (1792-1853)","Alamán, Lucas"
,425,cnp01468750,"Albers, Johann Abraham (1772-1821)","Albers, Johann Abraham"
,410,,"Anger, David (1764-1839)",
,480,,"Anger, David (1764-1839)",
,609,cnp01177665,"Anthing, Carl Heinrich Wilhelm (1766-1823)","Anthing, Karl Heinrich Wilhelm"
,773,cnp01010394,"Araujo d'Azevedo, Antonio d' (1752-1817)","Araujo d'Azevedo, Antonio d'"
,774,cnp01010394,"Araujo d'Azevedo, Antonio d' (1752-1817)","Araujo d'Azevedo, Antonio d'"
,0.084,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.236,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.241,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.416,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.417,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.419,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.421,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.428,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.43,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.432,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.434,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.446,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.447,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.459,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.468,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.469,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.47,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.473,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.474,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.475,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.476,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.478,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.479,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.48,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.481,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.482,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.484,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.485,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.486,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.487,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.488,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.491,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.492,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.493,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.495,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.496,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.497,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.498,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
,0.499,cnp00397388,"Asch, Georg Thomas von (1729-1807)","Asch, Georg Thomas von"
