,CERL ID,QID,CERL: rdaGr2:nameOfThePerson,Sammlung: a15a:name,Sammlung: a15a:bio,Sammlung: a15a:certainty,Sammlung: a15a:supplement
27,cnp00103587,4984,"Butenschön, Johann F.","Butenschön, Johann Friedrich ",1764-1842,,
148,cnp00115667,5047,"Reden, Claus Friedrich von","Reden, Claus Friedrich von ",1736-1791,,
86,cnp00123332,5013,"Ingen-Housz, Johannes","Ingen-Housz, Jan ",1730-1799,,
87,cnp00123332,5012,"Ingen-Housz, Johannes","Ingenhousz, Jan ",1730-1799,,
121,cnp00136180,5035,"Michaelis, Gottfried Philipp","Michaelis, Gottfried Philipp ",1768-1811,,
122,cnp00136216,5032,"Miesegaes, Carsten","Miesegaes, Carsten ",1767-1846,,
202,cnp00147377,5065,"Waldeck, Karl August Friedrich zu","Waldeck-Pyrmont, Friedrich Karl August zu ",1743-1812,,
105,cnp00158497,5023,"Leonhard, Carl Cäsar von","Leonhard, Carl Cäsar von ",1779-1862,,
201,cnp00158615,5068,"Wad, Gregers","Wad, Gregers ",1755-1832,,
29,cnp00160062,4980,"Caldcleugh, Alexander","Caldcleugh, Alexander ",1795-1858,,
150,cnp00252916,5055,"Reineggs, Jacob","Reineggs, Jacob ",1744-1793,,
155,cnp00304793,5053,"Roloff, Johann Christoph Heinrich","Roloff, Johann Christoph Heinrich ",1783-1825, ?,
28,cnp00321759,4977,"Buxton, Isaac","Buxton, Isaac ",1773-1825,,
42,cnp00352603,4993,"Espenberg, Karl","Espenberg, Karl ",1761-1822,,
63,cnp00352990,5006,"Hamilton, William Richard","Hamilton, William Richard ",1777-1859,,
156,cnp00361464,5057,"Röntgen, Gottfried Leonhard August","Röntgen, Gottfried Leonhard August ",1781-1865,,
120,cnp00363381,5034,"Michaelis, Christian Friedrich","Michaelis, Christian Friedrich ",1754-1818,,
149,cnp00372681,5050,"Reichenbach, Heinrich Gottlieb Ludwig","Reichenbach, Heinrich Gottlieb Ludwig ",1793-1879,,
167,cnp00373087,5082,"Scholz, Johann Martin Augustin","Scholz, Johann Martin Augustin ",1794-1852,,
132,cnp00380942,5048,"Oertzen, Friedrich von","Oertzen, Friedrich von ",1771-1848,,
147,cnp00386086,5052,"Recke, Johann Friedrich von","Recke, Johann Friedrich von ",1764-1846,,
79,cnp00388145,5011,"Hollmann, Samuel Christian","Hollmann, Samuel Christian ",1696-1787,,
81,cnp00388245,5010,"Horner, Johann Caspar","Horner, Johann Kaspar ",1774-1834,,
168,cnp00388438,5071,"Schreibers, Karl von","Schreibers, Karl von ",1775-1852,,
133,cnp00388669,5042,"Oeynhausen, Carl von","Oeynhausen, Carl von ",1795-1865,,
207,cnp00389394,5064,"Westrumb, Johann Friedrich","Westrumb, Johann Friedrich ",1751-1819,,
194,cnp00389581,5097,"Tiarks, Johann Ludwig","Tiarks, Johann Ludwig ",1789-1837,,
173,cnp00390020,5089,"Spitta, Heinrich","Spitta, Heinrich ",1799-1860,,
25,cnp00394374,4975,"Bünger, Christian Heinrich","Bünger, Christian Heinrich ",1782-1842,,
